sitename,lon,lat,elv,year_start,year_end,canopy_height,reference_height,koeppen_code,igbp_land_use,whc,product,c3c4,mat,p_over_pet
IT-Ro1,11.930009841918945,42.408119201660156,235,2002,2006,15,33.08823529411765,Csa,DBF,640.0245361328125,plumber,C3,17.12544968939246,0.8050719225164608
IT-Ro2,11.920929908752441,42.3902587890625,160,2002,2008,15,33.08823529411765,Csa,DBF,350.0084533691406,plumber,C3,16.768156575175972,0.7926442648530311
IT-SR2,10.29091,43.73202,4,2013,2020,19,41.911764705882355,Csa,ENF,187.77357482910156,icos_warmwinter2020,C3,16.82028096655243,0.9948802355728085
IT-SRo,10.284440040588379,43.72785949707031,6,2003,2012,16,23.5,Csa,ENF,187.77357482910156,plumber,C3,16.614085122019887,0.8330922437653885
IT-Tor,7.578055,45.84444,2168,2008,2020,0.6142857159887042,2.21,Dfc,GRA,218.556884765625,icos_warmwinter2020,C3,4.875666602016547,1.9405567417210325
JP-SMF,137.07879638671875,35.26169967651367,199,2003,2006,8.100000381469727,19,Cfa,MF,195.4050750732422,plumber,C3,15.751559456398098,1.8193378395732325
MX-Tes,-109.2977,27.8446,460,2004,2008,20.091304347826085,29.886956554910412,Bsh,DBF,501.3836669921875,ameriflux,NA,NA,NA
NL-Ca1,4.927000045776367,51.97100067138672,1,2003,2006,0.5,1.1029411764705883,Cfb,GRA,163.46798706054688,plumber,NA,11.522260877972387,1.2707987432162797
NL-Hor,5.071300029754639,52.24034881591797,2.200000047683716,2008,2011,1,2.2058823529411766,Cfb,GRA,909.8111572265625,plumber,C3,10.81302191065863,1.6626783663834608
NL-Loo,5.74355,52.166447,33,1996,2018,15.5,26,Cfb,ENF,220.64414978027344,icos_drought2018,C3,11.091574818458993,1.0187348769146172
PE-QFR,-73.319,-3.8344,104,2018,2019,1.8565277797645994,5.059807703311627,Af,WET,265.29791259765625,ameriflux,NA,25.88252067077816,2.265384846410788
PL-wet,16.30940055847168,52.76219940185547,55,2004,2005,1,2.5,Cfb,WET,234.3014373779297,plumber,NA,9.069474729361586,0.9374187016068224
PT-Esp,-8.601799964904785,38.639400482177734,90,2002,2004,20,33,Csa,EBF,398.8717346191406,plumber,NA,17.819729550839337,0.5628183724865894
