sitename,start_gpp,end_gpp,year_start_gpp,year_end_gpp,nyears_gpp,drop_gpp,start_le,end_le,year_start_le,year_end_le,nyears_le,drop_le,start_lecorr,end_lecorr,year_start_lecorr,year_end_lecorr,nyears_lecorr,drop_lecorr
CN-Qia,2003-01-01,2005-12-30,2003,2004,2,FALSE,2003-01-01,2005-12-31,2003,2005,3,FALSE,NA,NA,NA,NA,0,TRUE
CZ-BK1,2004-01-01,2020-12-26,2004,2019,16,FALSE,2004-01-08,2020-12-30,2005,2020,16,FALSE,2013-09-19,2020-12-30,2014,2020,7,FALSE
CZ-KrP,2014-01-01,2020-12-30,2014,2020,7,FALSE,2014-01-01,2020-12-30,2014,2020,7,FALSE,2014-02-27,2020-12-30,2015,2020,6,FALSE
CZ-Lnz,2015-01-01,2020-12-30,2015,2020,6,FALSE,2015-01-01,2020-12-30,2015,2020,6,FALSE,NA,NA,NA,NA,0,TRUE
CZ-RAJ,2012-01-01,2020-12-30,2012,2020,9,FALSE,2012-01-01,2020-12-30,2012,2020,9,FALSE,2014-01-28,2020-12-30,2015,2020,6,FALSE
CZ-Stn,2010-01-01,2020-12-30,2010,2020,11,FALSE,2010-01-01,2020-12-30,2010,2020,11,FALSE,NA,NA,NA,NA,0,TRUE
CZ-wet,2006-04-29,2020-12-30,2007,2020,14,FALSE,2006-04-28,2020-12-30,2007,2020,14,FALSE,2009-03-28,2020-12-30,2010,2020,11,FALSE
DE-Akm,2012-04-19,2014-09-20,2013,2013,1,FALSE,2012-04-19,2014-09-21,2013,2013,1,FALSE,NA,NA,NA,NA,0,TRUE
DE-Bay,1997-05-23,1999-12-15,1998,1998,1,FALSE,1997-01-06,1999-12-24,1998,1998,1,FALSE,1997-05-17,1999-12-24,1998,1998,1,FALSE
DE-Geb,2001-01-15,2020-12-30,2002,2020,19,FALSE,2001-01-15,2020-12-30,2002,2020,19,FALSE,2001-01-15,2020-12-30,2002,2020,19,FALSE
DE-Gri,2004-01-05,2020-01-07,2005,2019,15,FALSE,2004-01-05,2020-12-30,2005,2020,16,FALSE,2004-01-05,2020-12-30,2005,2020,16,FALSE
DE-Hai,2000-01-01,2020-12-22,2000,2019,20,FALSE,2010-04-01,2020-12-22,2011,2019,9,FALSE,2010-04-01,2020-12-22,2011,2019,9,FALSE
DE-HoH,2015-01-01,2020-12-30,2015,2020,6,FALSE,2015-01-01,2020-12-31,2015,2020,6,FALSE,2015-01-01,2020-12-31,2015,2020,6,FALSE
DE-Hte,2014-05-03,2018-12-02,2015,2017,3,FALSE,NA,NA,NA,NA,0,TRUE,NA,NA,NA,NA,0,TRUE
DE-Hzd,2011-03-01,2015-10-23,2012,2014,3,FALSE,2011-03-01,2015-10-27,2012,2014,3,FALSE,2011-03-01,2015-10-27,2012,2014,3,FALSE
DE-Kli,2009-05-15,2020-12-30,2010,2020,11,FALSE,2009-05-15,2020-12-30,2010,2020,11,FALSE,2009-05-15,2020-12-30,2010,2020,11,FALSE
DE-Obe,2008-01-25,2020-12-30,2009,2020,12,FALSE,2008-01-24,2020-12-30,2009,2020,12,FALSE,2008-01-24,2020-12-30,2009,2020,12,FALSE
DE-RuR,2011-05-13,2020-12-30,2012,2020,9,FALSE,2011-05-13,2020-12-30,2012,2020,9,FALSE,2011-05-13,2020-12-30,2012,2020,9,FALSE
DE-RuS,2012-04-28,2020-12-30,2013,2020,8,FALSE,2012-04-28,2020-12-30,2013,2020,8,FALSE,2012-04-28,2020-12-30,2013,2020,8,FALSE
DE-RuW,2012-01-10,2020-12-30,2013,2020,8,FALSE,2012-01-08,2020-12-30,2013,2020,8,FALSE,NA,NA,NA,NA,0,TRUE
DE-Seh,2008-01-08,2010-10-14,2009,2009,1,FALSE,2008-01-08,2010-10-14,2009,2009,1,FALSE,2008-01-08,2010-10-14,2009,2009,1,FALSE
DE-SfN,2013-01-01,2014-12-30,2013,2013,1,FALSE,2013-01-01,2014-12-30,2013,2013,1,FALSE,2013-01-01,2014-12-30,2013,2013,1,FALSE
